"Tag","petri_dish","population","family","common_garden","ID","treatment","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len_Initial","GM_NumberOfLeaves_Initial","GM_Leaf_Number","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Fern","ThripsDam","WhiteFungDam","BlackPathDam","GA3","Region","Latitude","Longitude","Altitude","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","GM_Fecundity"
"d|JBBLB2-1-20|Q|213","d","JBBLB2","1-20","Q","213","a",2,6,1,"213_2",0.15861499,0.163397725,0.205791805,0.11687924,10,2,2,60,62,9953,3,0,10,0,3,"y","NorthAm",38.90765,-75.05181667,0,1,2,"Dead","Dead","Dead","Dead",1.26e-06,1.05e-07,4.3e-08,-1.94e-08,NA
"e|JBBLB2-1-20|Q|219","e","JBBLB2","1-20","Q","219","a",4,5,4,"219_1",0.34060998,0.12487979,0.259643131,0.084993441,4,2,1,42,40,5499,2,0,0,0,4,"y","NorthAm",38.90765,-75.05181667,0,3,3,"Dead","Dead","Dead","Dead",9.67e-07,6.6e-07,7.15e-07,2.76e-09,NA
"e|JBBLB2-1-20|Q|219","e","JBBLB2","1-20","Q","219","a",4,5,4,"219_2",0.488665015,0.15539212,0.317529426,0.131186692,4,2,2,57,67,5499,2,0,0,1,0,"y","NorthAm",38.90765,-75.05181667,0,3,3,"Dead","Dead","Dead","Dead",9.67e-07,6.6e-07,7.15e-07,2.76e-09,NA
"e|JBBLB2-1-20|Q|220","e","JBBLB2","1-20","Q","220","a",4,3,20,"220_1",0.714837045,0.247541665,0.286267033,0.144194452,0,0,1,50,54,7320,2,0,10,0,7,"y","NorthAm",38.90765,-75.05181667,0,9,6,"Dead","Dead","Dead","Dead",1.68e-06,1.27e-06,6.48e-08,-1.28e-07,NA
"e|JBBLB2-1-20|Q|220","e","JBBLB2","1-20","Q","220","a",4,3,20,"220_2",0.13471253,0.077924765,0.108159335,0.076870361,0,0,2,70,66,7320,2,0,0,0,10,"y","NorthAm",38.90765,-75.05181667,0,9,6,"Dead","Dead","Dead","Dead",1.68e-06,1.27e-06,6.48e-08,-1.28e-07,NA
"e|JBBLB2-1-20|Q|221","e","JBBLB2","1-20","Q","221","a",3,4,2,"221_1",0.446675905,0.148745165,0.242727296,0.109211052,10,3,1,36,25,16392,4,0,0,0,0,"y","NorthAm",38.90765,-75.05181667,0,7,5,"Dead","Dead","Dead","Dead",1.19e-06,2.76e-07,-7.52e-08,6.78e-10,NA
"e|JBBLB2-1-20|Q|221","e","JBBLB2","1-20","Q","221","a",3,4,2,"221_2",0.51350445,0.090919085,0.342360008,0.108799482,10,3,2,66,71,16392,4,0,0,0,3,"y","NorthAm",38.90765,-75.05181667,0,7,5,"Dead","Dead","Dead","Dead",1.19e-06,2.76e-07,-7.52e-08,6.78e-10,NA
"e|JBBLB2-1-20|Q|222","e","JBBLB2","1-20","Q","222","a",3,1,12,"222_1",0.708278145,0.20405374,0.284594417,NA,10,2,1,45,43,7070,4,0,0,0,1,"y","NorthAm",38.90765,-75.05181667,0,2,5,"31","31","73","14",6.96e-07,1.54e-07,9.12e-08,1.56e-08,NA
"e|JBBLB2-1-20|Q|222","e","JBBLB2","1-20","Q","222","a",3,1,12,"222_2",0.28519561,0.04544267,NA,NA,10,2,2,48,51,7070,4,0,5,1,17,"y","NorthAm",38.90765,-75.05181667,0,2,5,"31","31","73","14",6.96e-07,1.54e-07,9.12e-08,1.56e-08,NA
"b|JBCHY1-1-50|Q|224","b","JBCHY1","1-50","Q","224","a",3,1,7,"224_1",0.653529,0.21217663,0.302355181,NA,9,2,1,52,53,10144,4,0,0,0,0,"y","NorthAm",38.94948333,-75.04693333,25.9,1,6,"Dead","Dead","Dead","Dead",1.24e-06,3.06e-07,3.28e-08,1.55e-08,NA
